iter	Passed	Remaining
559	8824	630
560	8840	614
561	8856	598
562	8872	583
563	8888	567
564	8903	551
565	8919	535
566	8935	520
567	8951	504
568	8966	488
569	8982	472
570	8999	457
571	9014	441
572	9029	425
573	9044	409
574	9060	393
575	9075	378
576	9090	362
577	9106	346
578	9121	330
579	9138	315
580	9153	299
581	9168	283
582	9184	267
583	9200	252
584	9215	236
585	9231	220
586	9247	204
587	9263	189
588	9278	173
589	9293	157
590	9310	141
591	9325	126
592	9341	110
593	9357	94
594	9373	78
595	9389	63
596	9404	47
597	9421	31
598	9437	15
599	9453	0
